Max Flow from 340 to 995: 126051
86 -> 36 | Flow: 107
86 -> 995 | Flow: 67
87 -> 263 | Flow: 18
87 -> 995 | Flow: 61
88 -> 995 | Flow: 142
89 -> 995 | Flow: 201
90 -> 580 | Flow: 5
90 -> 868 | Flow: 73
90 -> 422 | Flow: 5
90 -> 995 | Flow: 136
91 -> 995 | Flow: 68
92 -> 995 | Flow: 195
93 -> 441 | Flow: 1
93 -> 995 | Flow: 97
94 -> 865 | Flow: 71
94 -> 995 | Flow: 64
95 -> 166 | Flow: 26
95 -> 995 | Flow: 189
96 -> 995 | Flow: 173
97 -> 995 | Flow: 34
97 -> 479 | Flow: 2
98 -> 995 | Flow: 447
99 -> 487 | Flow: 11
99 -> 607 | Flow: 55
99 -> 35 | Flow: 18
99 -> 995 | Flow: 27
100 -> 385 | Flow: 5
100 -> 995 | Flow: 112
101 -> 995 | Flow: 126
102 -> 995 | Flow: 266
103 -> 995 | Flow: 133
103 -> 814 | Flow: 9
103 -> 688 | Flow: 18
103 -> 721 | Flow: 26
103 -> 456 | Flow: 27
104 -> 592 | Flow: 28
104 -> 126 | Flow: 8
104 -> 995 | Flow: 150
105 -> 3 | Flow: 3
105 -> 995 | Flow: 24
105 -> 686 | Flow: 71
105 -> 67 | Flow: 44
105 -> 157 | Flow: 41
105 -> 505 | Flow: 5
105 -> 18 | Flow: 23
105 -> 537 | Flow: 24
105 -> 295 | Flow: 25
105 -> 190 | Flow: 36
106 -> 343 | Flow: 4
106 -> 995 | Flow: 99
107 -> 995 | Flow: 24
108 -> 995 | Flow: 351
109 -> 995 | Flow: 78
110 -> 995 | Flow: 352
111 -> 206 | Flow: 48
111 -> 691 | Flow: 12
111 -> 213 | Flow: 1
111 -> 140 | Flow: 11
111 -> 258 | Flow: 1
112 -> 995 | Flow: 120
113 -> 995 | Flow: 451
114 -> 995 | Flow: 197
114 -> 350 | Flow: 9
114 -> 649 | Flow: 30
114 -> 182 | Flow: 40
114 -> 800 | Flow: 71
114 -> 158 | Flow: 23
114 -> 781 | Flow: 37
114 -> 29 | Flow: 9
115 -> 686 | Flow: 31
115 -> 971 | Flow: 148
115 -> 67 | Flow: 45
116 -> 636 | Flow: 31
117 -> 995 | Flow: 37
118 -> 995 | Flow: 132
119 -> 871 | Flow: 39
119 -> 363 | Flow: 4
119 -> 458 | Flow: 56
119 -> 5 | Flow: 2
120 -> 995 | Flow: 101
121 -> 995 | Flow: 242
122 -> 831 | Flow: 68
122 -> 842 | Flow: 7
122 -> 15 | Flow: 121
122 -> 814 | Flow: 82
122 -> 837 | Flow: 14
123 -> 995 | Flow: 263
124 -> 700 | Flow: 42
124 -> 995 | Flow: 166
125 -> 995 | Flow: 114
126 -> 995 | Flow: 159
127 -> 995 | Flow: 159
127 -> 448 | Flow: 33
127 -> 809 | Flow: 12
128 -> 36 | Flow: 33
128 -> 995 | Flow: 104
129 -> 995 | Flow: 132
130 -> 995 | Flow: 165
131 -> 995 | Flow: 134
131 -> 134 | Flow: 24
131 -> 532 | Flow: 15
132 -> 333 | Flow: 70
132 -> 195 | Flow: 11
132 -> 647 | Flow: 24
132 -> 995 | Flow: 140
133 -> 995 | Flow: 133
133 -> 50 | Flow: 5
133 -> 809 | Flow: 15
133 -> 638 | Flow: 3
133 -> 361 | Flow: 2
134 -> 995 | Flow: 346
135 -> 995 | Flow: 116
136 -> 263 | Flow: 6
136 -> 995 | Flow: 178
137 -> 995 | Flow: 125
138 -> 995 | Flow: 392
139 -> 995 | Flow: 76
139 -> 753 | Flow: 54
139 -> 701 | Flow: 1
140 -> 995 | Flow: 37
141 -> 874 | Flow: 186
141 -> 343 | Flow: 38
141 -> 995 | Flow: 49
142 -> 995 | Flow: 94
143 -> 875 | Flow: 53
143 -> 959 | Flow: 2
144 -> 479 | Flow: 91
144 -> 806 | Flow: 42
144 -> 355 | Flow: 15
145 -> 995 | Flow: 167
146 -> 403 | Flow: 39
146 -> 778 | Flow: 2
146 -> 333 | Flow: 21
146 -> 995 | Flow: 47
147 -> 70 | Flow: 13
147 -> 108 | Flow: 28
147 -> 46 | Flow: 65
147 -> 69 | Flow: 71
147 -> 811 | Flow: 68
147 -> 795 | Flow: 8
148 -> 229 | Flow: 81
148 -> 292 | Flow: 57
148 -> 558 | Flow: 45
149 -> 787 | Flow: 7
149 -> 664 | Flow: 15
150 -> 995 | Flow: 200
150 -> 704 | Flow: 39
150 -> 603 | Flow: 89
150 -> 239 | Flow: 5
151 -> 995 | Flow: 278
152 -> 995 | Flow: 196
153 -> 995 | Flow: 113
154 -> 995 | Flow: 290
155 -> 995 | Flow: 77
155 -> 357 | Flow: 96
155 -> 782 | Flow: 7
155 -> 129 | Flow: 33
156 -> 995 | Flow: 106
157 -> 995 | Flow: 156
158 -> 995 | Flow: 333
159 -> 580 | Flow: 54
159 -> 995 | Flow: 40
160 -> 995 | Flow: 85
160 -> 191 | Flow: 67
161 -> 995 | Flow: 300
162 -> 995 | Flow: 85
163 -> 995 | Flow: 141
164 -> 995 | Flow: 214
165 -> 995 | Flow: 62
165 -> 763 | Flow: 11
166 -> 995 | Flow: 197
167 -> 307 | Flow: 7
167 -> 827 | Flow: 43
167 -> 651 | Flow: 30
167 -> 958 | Flow: 34
167 -> 268 | Flow: 9
167 -> 330 | Flow: 48
167 -> 705 | Flow: 74
167 -> 942 | Flow: 6
167 -> 814 | Flow: 27
168 -> 995 | Flow: 161
169 -> 778 | Flow: 17
169 -> 534 | Flow: 18
169 -> 358 | Flow: 21
169 -> 687 | Flow: 36
169 -> 719 | Flow: 75
169 -> 195 | Flow: 82
170 -> 995 | Flow: 66
170 -> 763 | Flow: 48
170 -> 722 | Flow: 4
171 -> 995 | Flow: 212
171 -> 688 | Flow: 3
172 -> 995 | Flow: 123
173 -> 995 | Flow: 397
174 -> 995 | Flow: 108
175 -> 268 | Flow: 40
175 -> 431 | Flow: 37
175 -> 688 | Flow: 24
176 -> 225 | Flow: 65
176 -> 623 | Flow: 45
177 -> 995 | Flow: 153
178 -> 995 | Flow: 69
178 -> 130 | Flow: 22
178 -> 92 | Flow: 3
178 -> 110 | Flow: 5
179 -> 995 | Flow: 67
180 -> 995 | Flow: 188
181 -> 717 | Flow: 25
181 -> 316 | Flow: 10
181 -> 995 | Flow: 77
182 -> 995 | Flow: 266
183 -> 995 | Flow: 129
184 -> 126 | Flow: 19
184 -> 995 | Flow: 133
185 -> 645 | Flow: 98
185 -> 495 | Flow: 43
185 -> 995 | Flow: 29
186 -> 995 | Flow: 9
186 -> 229 | Flow: 14
186 -> 780 | Flow: 99
186 -> 527 | Flow: 3
187 -> 995 | Flow: 103
187 -> 809 | Flow: 116
188 -> 995 | Flow: 38
188 -> 920 | Flow: 100
188 -> 470 | Flow: 19
188 -> 234 | Flow: 9
188 -> 19 | Flow: 31
189 -> 35 | Flow: 102
189 -> 995 | Flow: 95
190 -> 995 | Flow: 143
191 -> 995 | Flow: 328
192 -> 936 | Flow: 56
192 -> 670 | Flow: 58
192 -> 995 | Flow: 48
193 -> 995 | Flow: 113
194 -> 995 | Flow: 313
195 -> 995 | Flow: 184
196 -> 995 | Flow: 234
197 -> 995 | Flow: 95
198 -> 995 | Flow: 181
198 -> 649 | Flow: 14
198 -> 399 | Flow: 14
199 -> 126 | Flow: 36
199 -> 995 | Flow: 96
199 -> 291 | Flow: 19
199 -> 57 | Flow: 82
199 -> 766 | Flow: 15
199 -> 702 | Flow: 13
200 -> 995 | Flow: 210
201 -> 89 | Flow: 43
201 -> 950 | Flow: 35
